chr1	1789620	1790392	ENSG00000269896[3,1,1]	0	-	1790162	1790348	0	1	772,	0,	chr1	1789670	1792078	AL513477.1-201|transcribed_processed_pseudogene	0	-	MORN1	722
chr1	1789620	1792128	ENSG00000269896[2,1,1]	0	-	1790613	1791237	0	1	2508,	0,	chr1	1789670	1792078	AL513477.1-201|transcribed_processed_pseudogene	0	-	MORN1	2408
chr1	1790062	1790392	ENSG00000269896[3,1,3]	0	-	1790162	1790348	0	1	330,	0,	chr1	1789670	1792078	AL513477.1-201|transcribed_processed_pseudogene	0	-	MORN1	330
chr1	1790851	1791165	ENSG00000269896[1,1,2]	0	-	1790851	1790851	0	1	314,	0,	chr1	1789670	1792078	AL513477.1-201|transcribed_processed_pseudogene	0	-	MORN1	314
chr1	1790851	1791165	ENSG00000269896[1,1,2]	0	-	1790851	1790851	0	1	314,	0,	chr1	1790901	1791115	AL513477.1-202|transcribed_processed_pseudogene	0	-	MORN1	214
chr1	8283833	8284591	ENSG00000234619[1,1,1]	0	+	8283833	8283833	0	1	758,	0,	chr1	8283883	8284541	retro_human_7188|RPL7P11-201|processed_pseudogene	0	+	RERE	658
chr1	9597448	9597885	ENSG00000224340[1,1,1]	0	-	9597448	9597448	0	1	437,	0,	chr1	9597498	9597835	AL590639.1-201|processed_pseudogene	0	-	UBE4B,MSTRG.41	337
chr1	15410868	15411531	ENSG00000234607[1,1,1]	0	+	15410868	15410868	0	1	663,	0,	chr1	15410918	15411481	AL355994.4-201|processed_pseudogene	0	+	ZBTB17	563
chr1	22965968	22966886	ENSG00000229010[1,1,1]	0	+	22965968	22965968	0	1	918,	0,	chr1	22966018	22966836	AL161672.1-201|processed_pseudogene	0	+	LUZP1	818
chr1	26100466	26100924	ENSG00000270733[1,1,1]	0	-	26100466	26100466	0	1	458,	0,	chr1	26100516	26100874	retro_human_5481|AL355877.1-201|processed_pseudogene	0	-	CEP85	358
chr1	30888816	30889423	ENSG00000237329[1,1,1]	0	+	30888816	30888816	0	1	607,	0,	chr1	30888866	30889373	retro_human_10755|AL356320.2-201|processed_pseudogene	0	+	PUM1	507
chr1	31115413	31115950	ENSG00000229447[1,1,1]	0	-	31115413	31115413	0	1	537,	0,	chr1	31115463	31115900	retro_human_11003|AC114495.2-201|processed_pseudogene	0	-	SNRNP40	437
