chr5	181892717	181897344	ENSG00000237094[6,7,2]	0	+	181897344	181897344	0	2	243,233,	0,4394,	chr5	181892418	181895209	retro_human_9324|AC138035.3-1|processed_pseudogene	0	-	CICP15	2492
chr1	146488	151124	ENSG00000230021[8,12,3]	0	-	146488	146488	0	2	227,257,	0,4379,	chr1	138270	151217	CICP18-202|transcribed_processed_pseudogene	0	-	SEPTIN14P14,LOC127239154,CICP3	4636
chr1	208423	208637	ENSG00000285268[1,1,1]	0	+	208423	208423	0	1	214,	0,	chr1	208473	208587	AL669831.6-201|transcribed_processed_pseudogene	0	+	LINC01409	114
chr1	389323	394480	ENSG00000187961[1,6,1]	0	+	389483	393903	255	12	267,260,122,222,186,214,145,168,89,74,182,803,	0,759,1095,1292,1752,2170,2575,2803,3386,3573,3815,4354,	chr1	393097	393858	retro_human_6823	0	+	KLHL17	761
chr1	389323	394480	ENSG00000187961[1,8,1]	0	+	393165	393903	255	2	3997,803,	0,4354,	chr1	393097	393858	retro_human_6823	0	+	KLHL17	761
chr1	389323	394480	ENSG00000187961[1,1,1]	0	+	389483	393903	0	12	267,260,122,222,117,214,145,168,89,74,182,803,	0,759,1095,1292,1821,2170,2575,2803,3386,3573,3815,4354,	chr1	393097	393858	retro_human_6823	0	+	KLHL17	761
chr1	425828	430377	ENSG00000188290[1,4,2]	0	-	429216	429726	0	2	3759,697,	0,3852,	chr1	429427	430128	retro_human_4464	0	-	HES4	701
chr1	425828	430377	ENSG00000188290[1,1,2]	0	-	429216	430128	0	4	3759,88,96,357,	0,3852,4018,4192,	chr1	429427	430128	retro_human_4464	0	-	HES4	701
chr1	429066	430377	ENSG00000188290[1,5,1]	0	-	429216	429726	255	3	521,262,357,	0,614,954,	chr1	429427	430128	retro_human_4464	0	-	HES4	701
chr1	429066	430377	ENSG00000188290[1,6,1]	0	-	429518	430128	255	4	521,81,96,357,	0,621,780,954,	chr1	429427	430128	retro_human_4464	0	-	HES4	701
chr1	429066	430377	ENSG00000188290[1,3,1]	0	-	429216	430128	0	3	521,88,357,	0,614,954,	chr1	429427	430128	retro_human_4464	0	-	HES4	701
chr1	429066	430377	ENSG00000188290[1,4,1]	0	-	429216	429726	0	2	521,697,	0,614,	chr1	429427	430128	retro_human_4464	0	-	HES4	701
chr1	429066	430377	ENSG00000188290[1,2,1]	0	-	429216	430128	0	3	521,88,531,	0,614,780,	chr1	429427	430128	retro_human_4464	0	-	HES4	701
chr1	429066	430377	ENSG00000188290[1,1,1]	0	-	429216	430128	0	4	521,88,96,357,	0,614,780,954,	chr1	429427	430128	retro_human_4464	0	-	HES4	701
