kategoria,transkrypt,gc_pierwsza_polowa,gc_druga_polowa,dlugosc
INTERGENIC,"ENSG00000230021[8,12,3]|retro_human_9205|CICP3-201|processed_pseudogene|chr1:146488-151124(-)",0.6528925619834711,0.4049586776859504,484
INTERGENIC,"ENSG00000223663[1,1,1]|retro_human_7358|NDUFB4P8-201|processed_pseudogene|chr1:809162-809629(+)",0.5665236051502146,0.3717948717948718,467
INTERGENIC,"ENSG00000224904[1,1,1]|retro_human_7777|SBF1P2-201|processed_pseudogene|chr1:11421822-11424559(+)",0.6257309941520468,0.6084733382030679,2737
INTERGENIC,"ENSG00000235084[1,1,1]|retro_human_8340|CHCHD2P6-201|processed_pseudogene|chr1:15049257-15049804(+)",0.673992673992674,0.5109489051094891,547
INTERGENIC,"ENSG00000236500[1,1,1]|retro_human_336|CD24P1-201|processed_pseudogene|chr1:15059304-15059629(-)",0.48148148148148145,0.4723926380368098,325
INTERGENIC,"ENSG00000233929[1,1,1]|retro_human_338|MT1XP1-201|processed_pseudogene|chr1:15682495-15682781(-)",0.5594405594405595,0.5734265734265734,286
INTERGENIC,"ENSG00000236698[1,1,1]|retro_human_341|EIF1AXP1-201|processed_pseudogene|chr1:16401182-16401717(-)",0.4419475655430712,0.373134328358209,535
INTERGENIC,"ENSG00000225478[1,1,1]|AL031737.1-201|processed_pseudogene|chr1:18415442-18415765(+)",0.391304347826087,0.3765432098765432,323
INTERGENIC,"ENSG00000214973[1,1,1]|retro_human_5477|CHCHD3P3-201|processed_pseudogene|chr1:27042009-27042749(-)",0.527027027027027,0.4945945945945946,740
INTERGENIC,"ENSG00000228589[1,1,1]|retro_human_10996|SPCS2P4-201|processed_pseudogene|chr1:27937524-27938305(-)",0.4794871794871795,0.4398976982097187,781
INTERGENIC,"ENSG00000224333[1,1,1]|retro_human_4221|GAPDHP20-201|processed_pseudogene|chr1:32259974-32261081(-)",0.46835443037974683,0.5288808664259927,1107
INTERGENIC,"ENSG00000226745[1,1,1]|retro_human_11102|OAZ1P1-201|processed_pseudogene|chr1:40002176-40002961(+)",0.6122448979591837,0.6106870229007634,785
INTERGENIC,"ENSG00000234093[1,1,1]|retro_human_6703|RPS15AP11-201|processed_pseudogene|chr1:44651273-44651758(-)",0.5041322314049587,0.42386831275720166,485
INTERGENIC,"ENSG00000226499[1,1,1]|AL136380.1-201|processed_pseudogene|chr1:44715105-44715367(-)",0.5038167938931297,0.42748091603053434,262
INTERGENIC,"ENSG00000224680[1,1,1]|retro_human_5996|PLA2G12AP1-201|processed_pseudogene|chr1:52250091-52250759(+)",0.6317365269461078,0.41916167664670656,668
INTERGENIC,"ENSG00000236290[1,1,1]|retro_human_5989|EEF1GP7-201|processed_pseudogene|chr1:52454533-52455336(+)",0.46633416458852867,0.49502487562189057,803
INTERGENIC,"ENSG00000236253[1,1,2]|SLC25A3P1-201|transcribed_processed_pseudogene|chr1:53320557-53321589(-)",0.686046511627907,0.6143410852713178,1032
INTERGENIC,"ENSG00000236253[1,1,2]|SLC25A3P1-202|transcribed_processed_pseudogene|chr1:53320557-53321589(-)",0.686046511627907,0.6143410852713178,1032
INTERGENIC,"ENSG00000219102[1,1,1]|retro_human_6468|HNRNPA3P12-201|processed_pseudogene|chr1:53857827-53858990(-)",0.43201376936316693,0.47079037800687284,1163
INTERGENIC,"ENSG00000225475[1,1,1]|AC099789.1-201|processed_pseudogene|chr1:56498222-56498465(-)",0.4297520661157025,0.4098360655737705,243
INTERGENIC,"ENSG00000270209[1,1,1]|AL035411.2-201|processed_pseudogene|chr1:58430826-58431347(-)",0.3730769230769231,0.4329501915708812,521
INTERGENIC,"ENSG00000238139[1,1,1]|AL590559.1-201|processed_pseudogene|chr1:67438560-67439034(+)",0.5232067510548524,0.5063291139240507,474
INTERGENIC,"ENSG00000226324[1,1,1]|retro_human_8970|AL358453.1-201|processed_pseudogene|chr1:71244763-71245113(-)",0.5314285714285715,0.48,350
INTERGENIC,"ENSG00000226415[1,1,1]|retro_human_6606|TPI1P1-201|processed_pseudogene|chr1:76537373-76538223(+)",0.5764705882352941,0.56,850
INTERGENIC,"ENSG00000236407[1,1,1]|retro_human_1197|HMGB1P18-201|processed_pseudogene|chr1:80120972-80121691(+)",0.4428969359331476,0.36666666666666664,719
INTERGENIC,"ENSG00000234518[1,1,1]|retro_human_1829|PTGES3P1-201|processed_pseudogene|chr1:88947587-88948170(-)",0.4054982817869416,0.3801369863013699,583
INTERGENIC,"ENSG00000228175[1,1,1]|retro_human_109|GEMIN8P4-201|processed_pseudogene|chr1:89836764-89837593(-)",0.5072463768115942,0.5855421686746988,829
INTERGENIC,"ENSG00000232393[1,1,1]|retro_human_6206|RPL5P6-201|processed_pseudogene|chr1:90868487-90869473(+)",0.44016227180527384,0.4239350912778905,986
INTERGENIC,"ENSG00000223490[1,1,1]|CHCHD2P5-201|processed_pseudogene|chr1:93769478-93769978(-)",0.568,0.468,500
INTERGENIC,"ENSG00000137970[1,1,1]|retro_human_10319|RPL7P9-201|processed_pseudogene|chr1:96526957-96527804(-)",0.44208037825059104,0.41037735849056606,847
INTERGENIC,"ENSG00000226483[1,1,1]|retro_human_5372|AL392088.1-201|processed_pseudogene|chr1:108541679-108542445(+)",0.39425587467362927,0.4725848563968668,766
INTERGENIC,"ENSG00000235045[1,1,1]|retro_human_35|RPL7P8-201|processed_pseudogene|chr1:109679810-109680640(+)",0.42168674698795183,0.39759036144578314,830
INTERGENIC,"ENSG00000224927[1,1,1]|retro_human_7083|NDUFA5P10-201|processed_pseudogene|chr1:109820735-109821192(-)",0.42105263157894735,0.388646288209607,457
INTERGENIC,"ENSG00000236012[1,1,1]|retro_human_4569|HIGD1AP12-201|processed_pseudogene|chr1:111394923-111395304(+)",0.4368421052631579,0.42408376963350786,381
INTERGENIC,"ENSG00000233337[1,1,1]|retro_human_8213|UBE2FP3-201|processed_pseudogene|chr1:111452147-111452771(+)",0.40064102564102566,0.3685897435897436,624
INTERGENIC,"ENSG00000232185[1,1,1]|retro_human_2739|CNOT7P2-201|processed_pseudogene|chr1:115575696-115576628(+)",0.4012875536480687,0.41416309012875535,932
INTERGENIC,"ENSG00000228217[1,1,1]|PNRC2P1-201|processed_pseudogene|chr1:117787258-117787778(-)",0.4153846153846154,0.36153846153846153,520
INTERGENIC,"ENSG00000226126[1,1,1]|retro_human_856|PSMC1P12-201|processed_pseudogene|chr1:118627493-118628907(-)",0.4328147100424328,0.4158415841584158,1414
INTERGENIC,"ENSG00000233432[1,1,1]|retro_human_1733|MTIF2P1-201|processed_pseudogene|chr1:121511661-121513309(+)",0.41262135922330095,0.3470873786407767,1648
INTERGENIC,"ENSG00000242352[1,1,1]|retro_human_2142|FAM91A3P-201|transcribed_processed_pseudogene|chr1:142838601-142841245(+)",0.4296520423600605,0.4183055975794251,2644
INTERGENIC,"ENSG00000235988[1,1,1]|AC245100.5-201|processed_pseudogene|chr1:146489311-146489742(+)",0.5069767441860465,0.6805555555555556,431
INTERGENIC,"ENSG00000237842[1,1,1]|retro_human_3832|SMU1P1-201|processed_pseudogene|chr1:156195995-156197626(-)",0.46134969325153374,0.42034313725490197,1631
INTERGENIC,"ENSG00000224520[1,1,1]|retro_human_183|KRT8P45-201|processed_pseudogene|chr1:156210022-156211570(+)",0.5710594315245479,0.6111111111111112,1548
INTERGENIC,"ENSG00000227425[1,1,1]|retro_human_181|MRPS21P2-201|processed_pseudogene|chr1:156998213-156998577(+)",0.489010989010989,0.489010989010989,364
INTERGENIC,"ENSG00000213075[1,1,2]|retro_human_5977|RPL31P11-201|transcribed_processed_pseudogene|chr1:161029106-161029621(-)",0.5058365758754864,0.41472868217054265,515
INTERGENIC,"ENSG00000213075[1,1,2]|RPL31P11-202|transcribed_processed_pseudogene|chr1:161029106-161029621(-)",0.5058365758754864,0.41472868217054265,515
INTERGENIC,"ENSG00000213070[1,1,1]|retro_human_8960|HMGB3P6-201|processed_pseudogene|chr1:163702501-163703199(+)",0.47277936962750716,0.44412607449856734,698
INTERGENIC,"ENSG00000232341[1,1,1]|retro_human_3470|RPL4P2-201|processed_pseudogene|chr1:166093169-166094550(+)",0.4782608695652174,0.44283646888567296,1381
INTERGENIC,"ENSG00000237049[1,1,1]|retro_human_1754|RPL34P1-201|processed_pseudogene|chr1:167562072-167562526(+)",0.43612334801762115,0.3964757709251101,454
INTERGENIC,"ENSG00000230364[1,1,1]|retro_human_1899|RPL4P3-201|processed_pseudogene|chr1:171039543-171040954(-)",0.47375886524822697,0.43342776203966005,1411
INTERGENIC,"ENSG00000230777[1,1,1]|retro_human_4076|RPS29P5-201|processed_pseudogene|chr1:175277246-175277517(+)",0.5333333333333333,0.4264705882352941,271
INTERGENIC,"ENSG00000231684[1,1,1]|retro_human_5502|EIF1P3-201|processed_pseudogene|chr1:181695520-181695954(+)",0.47465437788018433,0.43317972350230416,434
INTERGENIC,"ENSG00000228238[1,1,1]|retro_human_6966|AL096803.1-201|processed_pseudogene|chr1:185933017-185934138(+)",0.45357142857142857,0.43315508021390375,1121
INTERGENIC,"ENSG00000228020[1,1,1]|retro_human_5863|HNRNPA1P46-201|processed_pseudogene|chr1:190492387-190493424(-)",0.4517374517374517,0.4489402697495183,1037
INTERGENIC,"ENSG00000231333[1,1,1]|retro_human_3648|RPL34P6-201|processed_pseudogene|chr1:200120733-200121178(+)",0.44594594594594594,0.37668161434977576,445
INTERGENIC,"ENSG00000236523[1,1,1]|retro_human_9117|NPM1P40-201|processed_pseudogene|chr1:202518473-202519304(+)",0.41927710843373495,0.375,831
INTERGENIC,"ENSG00000232917[1,1,1]|retro_human_5485|HSPE1P6-201|processed_pseudogene|chr1:203167628-203168019(-)",0.4461538461538462,0.4030612244897959,391
INTERGENIC,"ENSG00000238137[1,1,1]|retro_human_2837|ARPC3P2-201|processed_pseudogene|chr1:210687843-210688476(+)",0.3860759493670886,0.4637223974763407,633
INTERGENIC,"ENSG00000235182[1,1,1]|AC104333.1-201|processed_pseudogene|chr1:212098209-212098455(+)",0.3333333333333333,0.3170731707317073,246
INTERGENIC,"ENSG00000227613[1,1,1]|retro_human_4043|QRSL1P2-201|processed_pseudogene|chr1:221495756-221496820(-)",0.41729323308270677,0.36654135338345867,1064
INTERGENIC,"ENSG00000188460[1,1,1]|retro_human_1299|ACTBP11-201|processed_pseudogene|chr1:223053403-223054629(-)",0.6084828711256117,0.5448613376835236,1226
