chr1	146488	151124	ENSG00000230021[8,12,3]	0	-	146488	146488	0	2	227,257,	0,4379,	chr1	148603	151415	CICP18-201|transcribed_processed_pseudogene	0	-	intergenic	2521
chr1	146488	151124	ENSG00000230021[8,12,3]	0	-	146488	146488	0	2	227,257,	0,4379,	chr1	148607	151413	retro_human_9205|CICP3-201|processed_pseudogene	0	+	intergenic	2517
chr1	146488	151124	ENSG00000230021[8,12,3]	0	-	146488	146488	0	2	227,257,	0,4379,	chr1	138270	151217	CICP18-202|transcribed_processed_pseudogene	0	-	intergenic	4636
chr1	389323	394480	ENSG00000187961[1,6,1]	0	+	389483	393903	255	12	267,260,122,222,186,214,145,168,89,74,182,803,	0,759,1095,1292,1752,2170,2575,2803,3386,3573,3815,4354,	chr1	393097	393858	retro_human_6823	0	+	intergenic	761
chr1	389323	394480	ENSG00000187961[1,8,1]	0	+	393165	393903	255	2	3997,803,	0,4354,	chr1	393097	393858	retro_human_6823	0	+	intergenic	761
chr1	389323	394480	ENSG00000187961[1,1,1]	0	+	389483	393903	0	12	267,260,122,222,117,214,145,168,89,74,182,803,	0,759,1095,1292,1821,2170,2575,2803,3386,3573,3815,4354,	chr1	393097	393858	retro_human_6823	0	+	intergenic	761
chr1	809162	809629	ENSG00000223663[1,1,1]	0	+	809162	809162	0	1	467,	0,	chr1	809212	809579	retro_human_7358|NDUFB4P8-201|processed_pseudogene	0	+	intergenic	367
chr1	1159155	1180410	ENSG00000215790[2,3,1]	0	-	1159784	1173931	0	7	635,146,128,136,469,418,319,	0,9911,13539,14140,14454,19463,20936,	chr1	1166926	1170356	AL031282.1-203|transcribed_processed_pseudogene	0	+	intergenic	3430
chr1	1159155	1180410	ENSG00000215790[2,3,1]	0	-	1159784	1173931	0	7	635,146,128,136,469,418,319,	0,9911,13539,14140,14454,19463,20936,	chr1	1158879	1170354	AL031282.1-201|transcribed_processed_pseudogene	0	+	intergenic	11199
chr1	1161702	1180410	ENSG00000215790[2,5,5]	0	-	1164020	1173931	255	6	2345,146,128,136,469,319,	0,7364,10992,11593,11907,18389,	chr1	1166926	1170356	AL031282.1-203|transcribed_processed_pseudogene	0	+	intergenic	3430
